quality,strip width,act weigth,slab width,entry weigth,widthRM-aver,crown-aver,T-aver-RMexit,T-dev-RMexit,T-FMexit,cast speed-aver,cast speed-max(m/s),cast speed-min,pressure-exit-aver,pressure-exit-max,pressure-exit-min,T-R1EN,T-IHEN,T-IHEX
ok,1257.1,18.365,1275,18.612,1268,0.005,985,3,850,5.82,0.097,0.097,38102.4,38819.444,37309.028,983,931,1148
ok,1256.9,18.34,1275,18.612,1268,0.004,984,3,850,5.82,0.097,0.097,38059.164,38836.804,37430.556,979,932,1148
ok,1256.4,18.405,1275,18.612,1268,0.004,984,2,850,5.82,0.097,0.097,38105.304,38906.248,37413.192,979,931,1148
ok,1256.4,18.34,1275,18.612,1268,0.004,984,2,850,5.82,0.097,0.097,38108.192,38923.608,37482.64,979,931,1148
ok,1270.8,16.38,1290,16.544,1284,-0.007,988,2,850,5.82,0.097,0.096,38121.644,38923.608,37413.192,973,929,1151
ok,1270.7,16.325,1290,16.544,1284,-0.007,989,3,850,5.82,0.097,0.096,38138.2,39149.304,37326.388,975,928,1152
ok,1271.1,16.37,1290,16.544,1284,-0.006,984,4,850,5.82,0.097,0.096,38232.172,39062.5,37222.22,967,926,1152
ok,1272.6,16.375,1290,16.544,1285,-0.005,970,5,850,5.82,0.097,0.097,38200.736,39149.304,37256.944,948,919,1150
ok,1272.7,16.415,1290,16.544,1285,-0.004,968,4,850,5.82,0.097,0.097,38163.428,39045.14,37222.22,948,917,1149
ok,1272.7,20.45,1290,20.68,1285,-0.006,972,6,850,5.82,0.097,0.097,38131.54,39097.22,37343.752,953,918,1149
ok,1267.9,20.415,1290,20.68,1285,-0.029,985,3,850,5.82,0.097,0.097,38140.992,38975.692,37395.832,969,927,1149
ok,1271.3,16.32,1290,16.544,1284,-0.006,992,2,850,5.82,0.097,0.097,38133.416,38888.888,37395.832,981,932,1152
ok,1271.8,16.365,1290,16.544,1285,-0.005,992,2,850,5.82,0.097,0.097,38152.492,38836.804,37430.556,981,932,1152
ok,1272.1,16.34,1290,16.544,1285,-0.005,991,2,850,5.82,0.097,0.097,38147.416,38888.888,37482.64,980,932,1152
ok,1272.6,16.36,1290,16.544,1285,-0.004,991,2,850,5.82,0.097,0.097,38121.46,38906.248,37309.028,980,931,1152
ok,1270,18.375,1290,18.612,1283,-0.004,988,2,850,5.82,0.097,0.097,38130.308,38888.888,37361.108,974,927,1152
ok,1270.5,18.29,1290,18.612,1283,-0.004,988,2,850,5.82,0.097,0.097,38144.084,38750,37413.192,974,928,1152
ok,1270.2,18.345,1290,18.612,1283,-0.005,990,2,850,5.82,0.097,0.097,38130.94,38836.804,37430.556,978,929,1152
bad,1270.3,18.36,1290,18.612,1283,-0.005,990,2,850,5.82,0.097,0.097,38124.748,38697.916,37604.164,978,929,1152
ok,1270,18.375,1290,18.612,1283,-0.006,990,2,850,5.82,0.097,0.097,38125.196,38645.832,37673.608,977,929,1152
ok,1270.1,18.38,1290,18.612,1283,-0.006,990,2,850,5.82,0.097,0.097,38137.952,38697.916,37534.72,979,929,1152
bad,1270.3,18.395,1290,18.612,1283,-0.007,990,2,850,5.82,0.097,0.097,38135.356,38836.804,37447.916,978,928,1152
bad,1269.6,18.39,1290,18.612,1282,-0.006,990,2,850,5.82,0.097,0.097,38173.436,39131.944,37152.776,980,929,1151
ok,1271.4,18.375,1290,18.612,1283,-0.004,990,2,850,5.82,0.097,0.097,38133.576,39062.5,37256.944,979,929,1152
bad,1271,18.4,1290,18.612,1283,-0.002,991,2,850,5.82,0.097,0.097,38143.196,39010.416,37413.192,983,928,1152
bad,1270.8,18.39,1290,18.612,1283,0,992,2,850,5.82,0.097,0.097,38120.836,38750,37447.916,983,929,1152
ok,1270.9,18.39,1290,18.612,1283,0.002,991,3,850,5.82,0.097,0.097,38143.612,38697.916,37690.968,982,929,1151
ok,1270.6,18.38,1290,18.612,1282,0.004,991,2,850,5.82,0.097,0.097,38137.364,38732.64,37500,981,929,1150
ok,1270.4,18.375,1290,18.612,1282,0.006,991,2,850,5.82,0.097,0.097,38136.948,38732.64,37500,982,929,1152
ok,1271.6,18.37,1290,18.612,1283,0.008,992,2,850,5.82,0.097,0.097,38154.604,38784.72,37500,983,931,1153
ok,1273.5,20.41,1290,20.68,1284,0.01,992,2,850,5.82,0.097,0.097,38112.112,38697.916,37569.444,985,929,1153
ok,1273,20.395,1290,20.68,1284,0.008,991,2,850,5.82,0.097,0.097,38158.132,38819.444,37621.528,985,930,1151
ok,1273.1,16.31,1290,16.544,1284,0.007,991,2,850,5.82,0.097,0.097,38141.668,38732.64,37430.556,986,931,1152
ok,1273.2,16.35,1290,16.544,1284,0.007,990,2,850,5.82,0.097,0.097,38136.944,38784.72,37413.192,983,930,1152
ok,1273.5,16.32,1290,16.544,1285,0.009,990,2,850,5.82,0.097,0.097,38167.28,38993.056,37395.832,984,930,1151
ok,1274.2,20.41,1290,20.68,1285,0.01,990,2,850,5.82,0.097,0.096,38150.188,38888.888,37395.832,985,928,1152
ok,1273.9,20.435,1290,20.68,1286,0.007,990,2,850,5.82,0.097,0.096,38139.9,38836.804,37517.36,984,931,1150
ok,1274.7,16.225,1290,16.544,1285,0.011,988,2,850,5.82,0.097,0.096,38145.28,38732.64,37604.164,982,929,1149
ok,1274.3,16.345,1290,16.544,1285,0.01,985,2,850,5.82,0.097,0.096,38162.568,39045.14,37361.108,978,929,1150
ok,1274.1,16.345,1290,16.544,1285,0.009,984,3,850,5.82,0.097,0.097,38166.204,38923.608,37413.192,977,927,1149
ok,1273.8,16.35,1290,16.544,1285,0.009,982,2,850,5.82,0.097,0.097,38172.832,38923.608,37430.556,973,925,1148
ok,1273,16.335,1290,16.544,1285,0.008,981,2,850,5.82,0.097,0.097,38119.308,38871.528,37361.108,973,924,1147
bad,1270.8,16.37,1290,16.544,1285,0.008,980,2,850,5.82,0.097,0.097,38130.468,38628.468,37621.528,970,923,1148
bad,1272.9,16.36,1290,16.544,1286,0.007,978,3,850,5.82,0.097,0.097,38127.776,38628.468,37673.608,969,922,1148
bad,1272.3,18.39,1290,18.612,1286,0.006,978,3,850,5.82,0.097,0.097,38129.604,38732.64,37534.72,967,922,1148
bad,1271.8,20.41,1290,20.68,1286,0.006,978,3,850,5.82,0.097,0.097,38161.28,38888.888,37361.108,966,922,1147
ok,1271.5,20.43,1290,20.68,1286,0.005,978,3,850,5.82,0.097,0.097,38112.204,38802.08,37413.192,966,922,1148
bad,1271.8,20.475,1290,20.68,1286,0.006,976,3,850,5.82,0.097,0.097,38129.212,38871.528,37343.752,964,922,1147
ok,1271.8,20.41,1290,20.68,1286,0.006,976,3,850,5.82,0.097,0.097,38132.636,38784.72,37274.304,963,921,1147
ok,1272.7,20.46,1290,20.68,1286,0.009,979,3,850,5.82,0.097,0.096,38124.716,38715.276,37534.72,968,921,1147
ok,1272.8,16.38,1290,16.544,1287,0.007,978,3,850,5.82,0.097,0.096,38101.584,38975.692,37326.388,969,920,1147
bad,1258.1,16.365,1275,16.544,1271,0.001,988,2,850,5.82,0.097,0.097,38062.996,39079.86,37083.332,974,925,1142
bad,1257.5,16.35,1275,16.544,1271,0.001,987,3,850,5.82,0.097,0.097,37990.1,39045.14,37187.5,971,924,1141
ok,1256.6,16.375,1275,16.544,1270,0.002,986,4,850,5.82,0.097,0.097,38015.052,38697.916,37447.916,972,923,1142
ok,1256.7,16.305,1275,16.544,1270,0.007,990,4,850,5.82,0.097,0.097,38040.476,38628.468,37430.556,979,925,1145
